Тип	Кадастровый номер	Адрес	Площадь	Кадастровая стоимость
четырехкомнатная квартира	59:01:4410004:183	г Пермь, ул Окулова, д. 6, 32	94 кв.м.	3 246 692 руб.
трехкомнатная квартира	59:01:4410004:201	г Пермь, ул Окулова, д. 6, 2	82.3 кв.м.	2 813 440 руб.
четырехкомнатная квартира	59:01:4410004:200	г Пермь, ул Окулова, д. 6, 19	94.5 кв.м.	3 250 144 руб.
четырехкомнатная квартира	59:01:4410004:212	г Пермь, ул Окулова, д. 6, 3	93.7 кв.м.	3 233 694 руб.
четырехкомнатная квартира	59:01:4410004:180	г Пермь, ул Окулова, д. 6, 3	92.4 кв.м.	3 196 635 руб.
 комнаты	59:01:4410004:1093	г Пермь, ул Окулова, д. 6, 16	32.7 кв.м.	1 409 954 руб.
трехкомнатная квартира	59:01:4410004:196	г Пермь, ул Окулова, д. 6, 15	84.6 кв.м.	3 040 517 руб.
трехкомнатная квартира	59:01:4410004:202	г Пермь, ул Окулова, д. 6, 20	83.5 кв.м.	3 016 365 руб.
трехкомнатная квартира	59:01:4410004:621	г Пермь, ул Окулова, д. 6, 15	82.1 кв.м.	3 043 350 руб.
четырехкомнатная квартира	59:01:4410004:215	г Пермь, ул Окулова, д. 6, 32	94.8 кв.м.	3 256 292 руб.
четырехкомнатная квартира	59:01:4410004:193	г Пермь, ул Окулова, д. 6, 12	94.3 кв.м.	3 246 039 руб.
трехкомнатная квартира	59:01:4410004:175	г Пермь, ул Окулова, д. 6, 25	83.3 кв.м.	3 011 954 руб.
трехкомнатная квартира	59:01:4410004:192	г Пермь, ул Окулова, д. 6, 11	83.4 кв.м.	3 014 160 руб.
четырехкомнатная квартира	59:01:4410004:203	г Пермь, ул Окулова, д. 6, 21	94.7 кв.м.	3 254 243 руб.
четырехкомнатная квартира	59:01:4410004:227	г Пермь, ул Окулова, д. 6, 14	94.4 кв.м.	3 248 092 руб.
трехкомнатная квартира	59:01:4410004:211	г Пермь, ул Окулова, д. 6, 29	83.9 кв.м.	2 925 166 руб.
комната с частью вспомогательных помещений	59:01:4410004:894	г Пермь, ул Окулова, д. 6, 16	34.8 кв.м.	1 500 502 руб.
четырехкомнатная квартира	59:01:4410004:219	г Пермь, ул Окулова, д. 6, 7	91.3 кв.м.	3 183 166 руб.
трехкомнатная квартира	59:01:4410004:182	г Пермь, ул Окулова, д. 6, 31	84.8 кв.м.	3 044 889 руб.
четырехкомнатная квартира	59:01:4410004:622	г Пермь, ул Окулова, д. 6, 23	93.4 кв.м.	3 290 199 руб.
трехкомнатная квартира	59:01:4410004:191	г Пермь, ул Окулова, д. 6, 10	81.7 кв.м.	2 976 444 руб.
сеть холодного водоснабжения от вк- до ж.д. по ул. окулова	59:01:4410004:884	г Пермь, ул Окулова, д. 6	0 кв.м.	0 руб.
участок	59:01:4410004:20	г Пермь, ул Окулова, д. 6	3373 кв.м.	32 136 190 руб.
трехкомнатная квартира	59:01:4410004:222	г Пермь, ул Окулова, д. 6, 1	73.1 кв.м.	2 778 383 руб.
трехкомнатная квартира	59:01:4410004:194	г Пермь, ул Окулова, д. 6, 13	83.6 кв.м.	3 018 569 руб.
трехкомнатная квартира	59:01:4410004:218	г Пермь, ул Окулова, д. 6, 6	83.7 кв.м.	3 020 770 руб.
однокомнатная квартира	59:01:4410008:37	г Пермь, ул Окулова, д. 31, 13	32.7 кв.м.	1 801 776 руб.
однокомнатная квартира	59:01:4410008:41	г Пермь, ул Окулова, д. 31, 17	32.3 кв.м.	1 785 600 руб.
однокомнатная квартира	59:01:4410008:72	г Пермь, ул Окулова, д. 31, 9	40 кв.м.	2 082 255 руб.
участок	59:01:4410008:26	г Пермь, ул Окулова, д. 31	1562 кв.м.	14 863 555 руб.
двухкомнатная  квартира	59:01:4410008:65	г Пермь, ул Окулова, д. 31, 39	41.7 кв.м.	2 143 930 руб.
двухкомнатная  квартира	59:01:4410008:34	г Пермь, ул Окулова, д. 31, 10	40.8 кв.м.	2 111 436 руб.
двухкомнатная  квартира	59:01:4410008:70	г Пермь, ул Окулова, д. 31, 7	45.8 кв.м.	2 287 697 руб.
двухкомнатная  квартира	59:01:4410008:50	г Пермь, ул Окулова, д. 31, 25	42 кв.м.	2 160 824 руб.
квартира№	59:01:4410008:342	г Пермь, ул Окулова, д. 31, 39	41.9 кв.м.	714 704 руб.
двухкомнатная  квартира	59:01:4410008:43	г Пермь, ул Окулова, д. 31, 19	44.3 кв.м.	2 235 884 руб.
однокомнатная квартира	59:01:4410008:62	г Пермь, ул Окулова, д. 31, 36	33.6 кв.м.	1 837 843 руб.
двухкомнатная  квартира	59:01:4410008:42	г Пермь, ул Окулова, д. 31, 18	40.4 кв.м.	2 096 881 руб.
однокомнатная квартира	59:01:4410008:68	г Пермь, ул Окулова, д. 31, 5	32.9 кв.м.	1 809 830 руб.
однокомнатная квартира	59:01:4410008:53	г Пермь, ул Окулова, д. 31, 28	33.3 кв.м.	1 825 870 руб.
двухкомнатная  квартира	59:01:4410008:48	г Пермь, ул Окулова, д. 31, 23	40.1 кв.м.	2 085 918 руб.
двухкомнатная  квартира	59:01:4410008:44	г Пермь, ул Окулова, д. 31, 2	40 кв.м.	2 082 255 руб.
однокомнатная квартира	59:01:4410008:58	г Пермь, ул Окулова, д. 31, 32	33.2 кв.м.	1 706 387 руб.
однокомнатная квартира	59:01:4410008:60	г Пермь, ул Окулова, д. 31, 34	33.1 кв.м.	1 817 861 руб.
трехкомнатная  квартира	59:01:4410008:59	г Пермь, ул Окулова, д. 31, 33	55.3 кв.м.	2 597 173 руб.
однокомнатная квартира	59:01:4410008:49	г Пермь, ул Окулова, д. 31, 24	33.5 кв.м.	1 833 858 руб.
трехкомнатная  квартира	59:01:4410008:54	г Пермь, ул Окулова, д. 31, 29	54.5 кв.м.	2 572 252 руб.
двухкомнатная  квартира	59:01:4410008:57	г Пермь, ул Окулова, д. 31, 31	41.2 кв.м.	2 125 921 руб.
двухкомнатная  квартира	59:01:4410008:52	г Пермь, ул Окулова, д. 31, 27	41.9 кв.м.	2 151 103 руб.
двухкомнатная  квартира	59:01:4410008:38	г Пермь, ул Окулова, д. 31, 14	40.7 кв.м.	2 107 804 руб.
однокомнатная квартира	59:01:4410008:56	г Пермь, ул Окулова, д. 31, 30	33.3 кв.м.	1 825 870 руб.
двухкомнатная  квартира	59:01:4410008:45	г Пермь, ул Окулова, д. 31, 20	44.7 кв.м.	2 300 207 руб.
домовладение	59:01:4410008:27	г Пермь, ул Окулова, д. 31	1816.8 кв.м.	94 387 520 руб.
трехкомнатная  квартира	59:01:4410008:40	г Пермь, ул Окулова, д. 31, 16	57.6 кв.м.	2 667 758 руб.
	59:01:4410008:61	г Пермь, ул Окулова, д. 31, 35	40.4 кв.м.	2 081 374 руб.
двухкомнатная  квартира	59:01:4410008:47	г Пермь, ул Окулова, д. 31, 22	43.2 кв.м.	2 197 320 руб.
двухкомнатная  квартира	59:01:4410008:69	г Пермь, ул Окулова, д. 31, 6	41.3 кв.м.	2 129 532 руб.
двухкомнатная  квартира	59:01:4410008:51	г Пермь, ул Окулова, д. 31, 26	45.8 кв.м.	2 287 697 руб.
квартира	59:01:4410008:341	г Пермь, ул Окулова, д. 31, 34	32.4 кв.м.	552 659 руб.
однокомнатная квартира	59:01:4410008:39	г Пермь, ул Окулова, д. 31, 15	31.3 кв.м.	1 612 725 руб.
однокомнатная квартира	59:01:4410008:67	г Пермь, ул Окулова, д. 31, 40	33.4 кв.м.	1 829 867 руб.
двухкомнатная  квартира	59:01:4410008:66	г Пермь, ул Окулова, д. 31, 4	42.9 кв.м.	2 186 717 руб.
трехкомнатная  квартира	59:01:4410008:63	г Пермь, ул Окулова, д. 31, 37	54.1 кв.м.	2 559 719 руб.
двухкомнатная  квартира	59:01:4410008:35	г Пермь, ул Окулова, д. 31, 11	44.4 кв.м.	2 239 366 руб.
двухкомнатная  квартира	59:01:4410008:46	г Пермь, ул Окулова, д. 31, 21	42.6 кв.м.	2 176 077 руб.
однокомнатная квартира	59:01:4410008:64	г Пермь, ул Окулова, д. 31, 38	33.1 кв.м.	1 817 861 руб.
двухкомнатная  квартира	59:01:4410008:36	г Пермь, ул Окулова, д. 31, 12	45.9 кв.м.	2 291 121 руб.
встроенное помещение	59:01:4410008:321	г Пермь, ул Окулова, д. 31, б/н1	28.5 кв.м.	1 627 208 руб.
двухкомнатная  квартира	59:01:4410008:71	г Пермь, ул Окулова, д. 31, 8	45.3 кв.м.	2 270 523 руб.
нежилое помещение	59:01:4410008:401	г Пермь, ул Окулова, д. 31	28.5 кв.м.	673 090 руб.
двухкомнатная  квартира	59:01:4410008:55	г Пермь, ул Окулова, д. 31, 3	44.3 кв.м.	2 235 884 руб.
однокомнатная квартира	59:01:4410038:109	г Пермь, ул 25 Октября, д. 5, 3	31.9 кв.м.	1 890 241 руб.
двухкомнатная квартира	59:01:4410038:112	г Пермь, ул 25 Октября, д. 5, 32	44.7 кв.м.	2 451 143 руб.
двухкомнатная квартира	59:01:4410038:115	г Пермь, ул 25 Октября, д. 5, 35	44.3 кв.м.	2 388 672 руб.
двухкомнатная квартира	59:01:4410038:101	г Пермь, ул 25 Октября, д. 5, 22	43.5 кв.м.	2 358 761 руб.
двухкомнатная квартира	59:01:4410038:117	г Пермь, ул 25 Октября, д. 5, 37	41.4 кв.м.	2 278 905 руб.
однокомнатная квартира	59:01:4410038:97	г Пермь, ул 25 Октября, д. 5, 19	32.9 кв.м.	1 933 504 руб.
