Тип	Кадастровый номер	Адрес	Площадь	Кадастровая стоимость
трехкомнатная квартира	59:01:4410125:113	г Пермь, ул Екатерининская, д. 119, 56	63.5 кв.м.	3 439 875 руб.
участок	59:01:4410125:18	г Пермь, ул Екатерининская, д. 119	3629 кв.м.	34 566 080 руб.
квартира	59:01:4410125:87	город Пермь, ул Екатерининская, д. 119, 32	65.4 кв.м.	3 505 515 руб.
квартира	59:01:4410125:203	г Пермь, ул Екатерининская, д. 119, 67	51.8 кв.м.	3 009 693 руб.
трехкомнатная  квартира	59:01:4410125:100	г Пермь, ул Екатерининская, д. 119, 44	62.9 кв.м.	3 418 922 руб.
двухкомнатная квартира	59:01:4410125:128	г Пермь, ул Екатерининская, д. 119, 7	51 кв.м.	2 978 456 руб.
четырехкомнатная квартира	59:01:4410125:1067	г Пермь, ул Екатерининская, д. 119, 57	77.3 кв.м.	3 235 904 руб.
квартира	59:01:4410125:1184	г Пермь, ул Екатерининская, д. 119, 33	83.3 кв.м.	4 332 046 руб.
однокомнатная квартира	59:01:4410125:76	г Пермь, ул Екатерининская, д. 119, 22	37.7 кв.м.	2 416 702 руб.
квартира	59:01:4410125:1209	г Пермь, ул Екатерининская, д. 119, 57	77.3 кв.м.	4 020 014 руб.
двухкомнатная квартира	59:01:4410125:90	г Пермь, ул Екатерининская, д. 119, 35	51 кв.м.	2 978 456 руб.
четырехкомнатная квартира	59:01:4410125:192	г Пермь, ул Екатерининская, д. 119, 57	80 кв.м.	3 977 626 руб.
трехкомнатная квартира	59:01:4410125:122	г Пермь, ул Екатерининская, д. 119, 64	62.6 кв.м.	3 408 403 руб.
квартира	59:01:4410125:1219	г Пермь, ул Екатерининская, д. 119, 29	82.3 кв.м.	4 280 041 руб.
трехкомнатная квартира	59:01:4410125:96	г Пермь, ул Екатерининская, д. 119, 40	63.9 кв.м.	3 453 784 руб.
четырехкомнатная квартира	59:01:4410125:201	г Пермь, ул Екатерининская, д. 119, 65	81.4 кв.м.	4 020 226 руб.
четырехкомнатная квартира	59:01:4410125:105	г Пермь, ул Екатерининская, д. 119, 49	79.6 кв.м.	3 965 377 руб.
четырехкомнатная квартира	59:01:4410125:119	г Пермь, ул Екатерининская, д. 119, 61	79.9 кв.м.	3 974 567 руб.
квартира	59:01:4410125:94	г Пермь, ул Екатерининская, д. 119, 39	51.1 кв.м.	2 982 375 руб.
квартира	59:01:4410125:81	г Пермь, ул Екатерининская, д. 119, 27	50.9 кв.м.	2 974 533 руб.
однокомнатная квартира	59:01:4410125:115	г Пермь, ул Екатерининская, д. 119, 58	37.2 кв.м.	2 393 799 руб.
однокомнатная квартира	59:01:4410125:202	г Пермь, ул Екатерининская, д. 119, 66	37.4 кв.м.	2 402 977 руб.
четырехкомнатная квартира	59:01:4410125:205	г Пермь, ул Екатерининская, д. 119, 69	80.2 кв.м.	3 983 738 руб.
однокомнатная квартира	59:01:4410125:180	г Пермь, ул Екатерининская, д. 119, 46	37.5 кв.м.	2 407 558 руб.
квартира	59:01:4410125:1191	г Пермь, ул Екатерининская, д. 119, 9	80.9 кв.м.	4 207 234 руб.
квартира	59:01:4410125:83	г Пермь, ул Екатерининская, д. 119, 29	79.3 кв.м.	3 956 166 руб.
квартира	59:01:4410125:142	г Пермь, ул Екатерининская, д. 119, 10	37.1 кв.м.	2 389 201 руб.
двухкомнатная  квартира	59:01:4410125:190	г Пермь, ул Екатерининская, д. 119, 55	50.5 кв.м.	2 958 802 руб.
трёхкомнатная квартира	59:01:4410125:1068	г Пермь, ул Екатерининская, д. 119, 40	61.7 кв.м.	2 582 863 руб.
однокомнатная квартира	59:01:4410125:85	г Пермь, ул Екатерининская, д. 119, 30	37.7 кв.м.	2 416 702 руб.
квартира	59:01:4410125:1188	г Пермь, ул Екатерининская, д. 119, 59	54.6 кв.м.	2 839 493 руб.
нежилое помещение	59:01:4410125:1002	г Пермь, ул Екатерининская, д. 119, б/н1	119.5 кв.м.	363 158 руб.
двухкомнатная квартира	59:01:4410125:116	г Пермь, ул Екатерининская, д. 119, 59	51.7 кв.м.	3 005 802 руб.
квартира	59:01:4410125:135	г Пермь, ул Екатерининская, д. 119, 76	63.2 кв.м.	3 429 412 руб.
двухкомнатная квартира	59:01:4410125:194	г Пермь, ул Екатерининская, д. 119, 59	51.7 кв.м.	3 005 802 руб.
квартира	59:01:4410125:1225	г Пермь, ул Екатерининская, д. 119, 48	63.8 кв.м.	3 317 942 руб.
квартира	59:01:4410125:195	г Пермь, ул Екатерининская, д. 119, 6	37.3 кв.м.	2 398 391 руб.
трехкомнатная квартира	59:01:4410125:160	г Пермь, ул Екатерининская, д. 119, 28	63.6 кв.м.	3 443 357 руб.
однокомнатная квартира	59:01:4410125:193	г Пермь, ул Екатерининская, д. 119, 58	37.2 кв.м.	2 393 799 руб.
четырехкомнатная квартира	59:01:4410125:214	г Пермь, ул Екатерининская, д. 119, 77	80 кв.м.	3 977 626 руб.
квартира	59:01:4410125:1146	г Пермь, ул Екатерининская, д. 119, 73	79.1 кв.м.	4 113 624 руб.
однокомнатная квартира	59:01:4410125:211	г Пермь, ул Екатерининская, д. 119, 74	36.9 кв.м.	2 379 986 руб.
трехкомнатная квартира	59:01:4410125:174	г Пермь, ул Екатерининская, д. 119, 40	63.9 кв.м.	3 453 784 руб.
квартира	59:01:4410125:1208	г Пермь, ул Екатерининская, д. 119, 15	51.2 кв.м.	2 662 674 руб.
однокомнатная квартира	59:01:4410125:185	г Пермь, ул Екатерининская, д. 119, 50	37 кв.м.	2 384 596 руб.
трехкомнатная квартира	59:01:4410125:109	г Пермь, ул Екатерининская, д. 119, 52	62.8 кв.м.	3 415 419 руб.
четырехкомнатная квартира	59:01:4410125:149	г Пермь, ул Екатерининская, д. 119, 17	81.7 кв.м.	4 029 299 руб.
четырехкомнатная квартира	59:01:4410125:183	г Пермь, ул Екатерининская, д. 119, 49	79.6 кв.м.	3 965 377 руб.
квартира	59:01:4410125:1144	г Пермь, ул Екатерининская, д. 119, 26	37.7 кв.м.	1 977 213 руб.
квартира	59:01:4410125:1216	г Пермь, ул Екатерининская, д. 119, 18	37.5 кв.м.	1 950 201 руб.
квартира	59:01:4410125:206	г Пермь, ул Екатерининская, д. 119, 7	51 кв.м.	2 978 456 руб.
однокомнатная квартира	59:01:4410125:111	г Пермь, ул Екатерининская, д. 119, 54	37 кв.м.	2 384 596 руб.
квартира	59:01:4410125:98	г Пермь, ул Екатерининская, д. 119, 42	36.5 кв.м.	2 361 486 руб.
квартира	59:01:4410125:74	г Пермь, ул Екатерининская, д. 119, 20	63.8 кв.м.	3 450 311 руб.
двухкомнатная квартира	59:01:4410125:177	г Пермь, ул Екатерининская, д. 119, 43	51.7 кв.м.	3 005 802 руб.
квартира	59:01:4410125:1189	г Пермь, ул Екатерининская, д. 119, 60	63.9 кв.м.	3 373 897 руб.
двухкомнатная квартира	59:01:4410125:216	г Пермь, ул Екатерининская, д. 119, 79	51.7 кв.м.	3 005 802 руб.
двухкомнатная  квартира	59:01:4410125:151	г Пермь, ул Екатерининская, д. 119, 19	51.6 кв.м.	3 001 907 руб.
квартира	59:01:4410125:1190	г Пермь, ул Екатерининская, д. 119, 76	64.6 кв.м.	3 359 546 руб.
квартира	59:01:4410125:136	г Пермь, ул Екатерининская, д. 119, 77	80 кв.м.	3 977 626 руб.
однокомнатная квартира	59:01:4410125:107	г Пермь, ул Екатерининская, д. 119, 50	37 кв.м.	2 384 596 руб.
квартира	59:01:4410125:75	г Пермь, ул Екатерининская, д. 119, 21	79.3 кв.м.	3 956 166 руб.
трехкомнатная квартира	59:01:4410125:82	г Пермь, ул Екатерининская, д. 119, 28	63.6 кв.м.	3 443 357 руб.
квартира	59:01:4410125:1205	г Пермь, ул Екатерининская, д. 119, 58	37.2 кв.м.	1 934 599 руб.
квартира	59:01:4410125:1229	г Пермь, ул Екатерининская, д. 119, 75	54.2 кв.м.	2 818 691 руб.
квартира	59:01:4410125:134	г Пермь, ул Екатерининская, д. 119, 75	51.3 кв.м.	2 990 200 руб.
квартира	59:01:4410125:97	г Пермь, ул Екатерининская, д. 119, 41	80.4 кв.м.	3 989 840 руб.
трехкомнатная квартира	59:01:4410125:187	г Пермь, ул Екатерининская, д. 119, 52	62.8 кв.м.	3 415 419 руб.
двухкомнатная квартира	59:01:4410125:155	г Пермь, ул Екатерининская, д. 119, 23	52.1 кв.м.	3 021 341 руб.
четырехкомнатная квартира	59:01:4410125:71	г Пермь, ул Екатерининская, д. 119, 17	81.7 кв.м.	4 029 299 руб.
 комнаты	59:01:4410074:316	г Пермь, ул Ленина, д. 11, 2	31.4 кв.м.	1 355 311 руб.
трехкомнатная квартира	59:01:4410074:53	г Пермь, ул Ленина, д. 11, 3	51.1 кв.м.	1 994 453 руб.
участок	59:01:4410074:26	г Пермь, ул Ленина, д. 11	1968 кв.м.	18 146 141 руб.
квартира	59:01:4410074:270	г Пермь, ул Ленина, д. 11, 19	46.3 кв.м.	164 552 руб.
квартира	59:01:4410074:371	г Пермь, ул Ленина, д. 11, 19	46.3 кв.м.	0 руб.
двухкомнатная квартира	59:01:4410074:47	г Пермь, ул Ленина, д. 11, 22	33.1 кв.м.	1 471 382 руб.
трехкомнатная квартира	59:01:4410074:69	г Пермь, ул Ленина, д. 11, 2	59.2 кв.м.	2 198 311 руб.
 комнаты в -комнатной квартире	59:01:4410074:339	г Пермь, ул Ленина, д. 11, 12	33.9 кв.м.	1 463 218 руб.
квартира	59:01:4410074:43	г Пермь, ул Ленина, д. 11, 19	46.3 кв.м.	1 865 493 руб.
двухкомнатная квартира	59:01:4410074:64	г Пермь, ул Ленина, д. 11, 15	41 кв.м.	1 714 873 руб.
