ул. Карташова, д. 42 в, Томск
ул. Карташова, д. 52, Томск
ул. Карташова, д. 54, Томск
ул. Карташова, д. 68, Томск
ул. Тверская, д. 79, Томск
ул. Карташова, д. 70, Томск
ул. Тверская, д. 88, Томск
ул. Тверская, д. 90 б, Томск
ул. Тверская, д. 92, Томск
ул. Тверская, д. 117, Томск
ул. 79 Гвардейской Дивизии, д. 8, Томск
ул. 79 Гвардейской Дивизии, д. 16, Томск
ул. Лебедева, д. 111, Томск
ул. Лебедева, д. 113, Томск
ул. Никитина, д. 31, Томск
ул. Новгородская, д. 42, Томск
ул. Новгородская, д. 44, Томск
ул. Олега Кошевого, д. 77, Томск
пер. Плеханова, д. 11, Томск
пр-кт. Фрунзе, д. 23, Томск
пер. Шумихинский, д. 3, Томск
ул. Елизаровых, д. 38, Томск
ул. Елизаровых, д. 40, Томск
ул. Енисейская, д. 8, Томск
ул. Енисейская, д. 32, Томск
пр-кт. Кирова, д. 62, Томск
пр-кт. Комсомольский, д. 49, Томск
ул. Льва Толстого, д. 79, Томск
ул. Льва Толстого, д. 81, Томск
ул. Льва Толстого, д. 83, Томск
ул. Говорова, д. 6, Томск
ул. 79 Гвардейской Дивизии, д. 20, Томск
ул. Говорова, д. 6/1, Томск
ул. Говорова, д. 6/2, Томск
ул. Говорова, д. 24, Томск
пер. Фруктовый, д. 28, Томск
пр-кт. Фрунзе, д. 77 Б, Томск
пр-кт. Фрунзе, д. 107/1, Томск
пр-кт. Фрунзе, д. 123, Томск
пр-кт. Фрунзе, д. 123/1, Томск
пр-кт. Фрунзе, д. 172, Томск
